User_ID,journey_path,converted
U_B01_00105,Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Instagram -> Instagram -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Google Search -> Google Search -> Instagram -> Instagram -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> Instagram -> Instagram -> YouTube -> YouTube -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> Marketplace -> Marketplace -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> Instagram -> Instagram -> Marketplace -> Marketplace -> Google Search -> Google Search -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> YouTube -> YouTube -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Google Search -> Google Search -> Marketplace -> Marketplace -> YouTube -> YouTube -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> YouTube -> YouTube -> YouTube -> YouTube -> Google Search -> Google Search,0
U_B01_00106,Influencer Blog -> Marketplace -> Marketplace,0
U_B01_00107,Influencer Blog -> Influencer Blog -> Marketplace -> Influencer Blog -> Influencer Blog -> Google Search,0
U_B01_00108,YouTube -> Influencer Blog -> YouTube -> YouTube,0
U_B01_00109,Marketplace -> Google Search,0
U_B01_00110,Influencer Blog,0
U_B01_00111,Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace,0
U_B01_00112,Instagram -> Google Search -> Influencer Blog -> YouTube -> YouTube,0
U_B01_00113,Instagram -> Marketplace -> YouTube -> Instagram -> Instagram -> Marketplace,0
U_B01_00114,Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> YouTube -> YouTube -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Instagram -> Instagram -> YouTube -> YouTube -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Instagram -> Instagram -> Instagram -> Instagram -> Instagram -> Instagram -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> YouTube -> YouTube -> Google Search -> Google Search -> Google Search -> Google Search -> YouTube -> YouTube -> YouTube -> YouTube -> Google Search -> Google Search -> Instagram -> Instagram -> Instagram -> Instagram -> Marketplace -> Marketplace -> Instagram -> Instagram -> YouTube -> YouTube -> Instagram -> Instagram -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Instagram -> Instagram -> Instagram -> Instagram -> Marketplace -> Marketplace -> Google Search -> Google Search -> Google Search -> Google Search -> Instagram -> Instagram -> Marketplace -> Marketplace -> Google Search -> Google Search -> Marketplace -> Marketplace -> YouTube -> YouTube,0
U_B01_00115,Influencer Blog -> YouTube -> Google Search,0
U_B01_00116,Google Search -> YouTube -> Influencer Blog -> YouTube,0
U_B01_00117,YouTube -> Instagram -> Instagram -> YouTube -> Influencer Blog -> Influencer Blog,0
U_B01_00118,Google Search -> Instagram,0
U_B01_00119,Influencer Blog,0
U_B01_00120,Influencer Blog -> Google Search -> YouTube -> Google Search -> Google Search -> YouTube,0
U_B01_00121,YouTube,0
U_B01_00122,Marketplace -> YouTube -> Marketplace -> Influencer Blog,0
U_B01_00123,Google Search -> Google Search -> Google Search -> YouTube,0
U_B01_00124,Instagram -> YouTube -> Instagram -> Instagram -> Marketplace -> Influencer Blog -> Influencer Blog,0
U_B01_00125,Influencer Blog -> Google Search,0
U_B01_00126,Influencer Blog -> YouTube -> YouTube -> YouTube -> YouTube,0
U_B01_00127,Influencer Blog -> Google Search,0
U_B01_00128,Influencer Blog -> Instagram -> Marketplace -> Influencer Blog -> Marketplace -> Marketplace,0
U_B01_00129,Google Search -> Marketplace -> Instagram -> YouTube -> YouTube,0
U_B01_00130,Marketplace -> Influencer Blog -> YouTube -> Influencer Blog,0
U_B01_00131,Instagram,0
U_B01_00132,Instagram -> Influencer Blog -> Instagram,0
U_B01_00133,Instagram -> Google Search -> Google Search,0
U_B01_00134,Google Search -> Influencer Blog,0
U_B01_00135,YouTube -> Marketplace -> Google Search -> YouTube -> Marketplace -> YouTube,0
U_B01_00136,Marketplace -> Marketplace -> Influencer Blog -> Marketplace -> Marketplace -> Instagram,0
U_B01_00137,Instagram -> YouTube -> Google Search,0
U_B01_00138,Google Search -> Marketplace -> Marketplace -> Marketplace,0
U_B01_00139,Instagram -> Instagram,0
U_B01_00140,YouTube -> Instagram,0
U_B01_00141,Google Search,0
U_B01_00142,Influencer Blog -> Influencer Blog -> Marketplace -> YouTube -> Influencer Blog -> Google Search,0
U_B01_00143,Instagram -> Google Search -> Google Search -> Google Search -> Marketplace -> Marketplace,0
U_B01_00144,Marketplace -> YouTube -> Marketplace -> YouTube -> Marketplace -> YouTube -> YouTube,1
U_B01_00145,Instagram -> YouTube -> YouTube -> Google Search -> Marketplace -> Instagram,0
U_B01_00146,YouTube,0
U_B01_00147,Influencer Blog -> Google Search -> Marketplace -> Instagram -> Marketplace -> Instagram,0
U_B01_00148,Instagram -> Influencer Blog -> Google Search -> Instagram -> Influencer Blog -> Instagram,0
U_B01_00149,Google Search -> YouTube -> Marketplace -> Marketplace -> Google Search,0
U_B01_00150,Google Search -> Google Search -> Instagram -> Marketplace -> Marketplace -> Influencer Blog -> Instagram,1
U_B01_00151,Marketplace -> Influencer Blog -> Marketplace -> Google Search -> YouTube,0
U_B01_00152,Marketplace -> Marketplace -> Marketplace -> YouTube -> YouTube -> Marketplace -> Google Search -> Google Search,0
U_B01_00153,YouTube -> Instagram,0
U_B01_00154,Google Search -> Influencer Blog -> Influencer Blog,0
U_B01_00155,Google Search -> YouTube -> YouTube,0
U_B01_00156,Instagram -> YouTube -> Marketplace -> Google Search -> YouTube -> Influencer Blog,0
U_B01_00157,Marketplace -> Influencer Blog -> Influencer Blog -> Instagram -> Influencer Blog,0
U_B01_00158,Marketplace -> YouTube -> Marketplace -> Influencer Blog -> Influencer Blog -> Influencer Blog,0
U_B01_00159,YouTube -> Instagram -> Instagram,1
U_B01_00160,Marketplace -> Marketplace -> Instagram -> Marketplace -> Marketplace,0
U_B01_00161,Instagram -> YouTube -> YouTube -> Instagram -> Marketplace -> Marketplace,0
U_B01_00162,Instagram -> Google Search -> YouTube -> Google Search -> YouTube,0
U_B01_00163,Influencer Blog -> YouTube,0
U_B01_00164,Marketplace,0
U_B01_00165,Influencer Blog -> Marketplace -> Influencer Blog -> Marketplace,0
U_B01_00166,Google Search,0
U_B01_00167,YouTube -> Influencer Blog -> Influencer Blog -> Marketplace -> Google Search -> YouTube -> YouTube -> Google Search -> Google Search -> Google Search,1
U_B01_00168,Marketplace -> YouTube -> Google Search,0
U_B01_00169,Marketplace -> YouTube -> YouTube -> Instagram -> Influencer Blog -> Instagram -> Influencer Blog,0
U_B01_00170,Marketplace,0
U_B01_00171,Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> Marketplace,0
U_B01_00172,Marketplace -> Instagram -> Influencer Blog -> Marketplace -> Instagram -> Instagram,1
U_B01_00173,Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Google Search -> Google Search -> Marketplace -> Marketplace -> Google Search -> Google Search -> Instagram -> Instagram -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> YouTube -> YouTube -> Google Search -> Google Search -> Google Search -> Google Search -> Instagram -> Instagram -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Instagram -> Instagram -> Instagram -> Instagram -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> YouTube -> YouTube -> Google Search -> Google Search -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Marketplace -> Marketplace -> YouTube -> YouTube -> Instagram -> Instagram -> Google Search -> Google Search -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog,0
U_B01_00174,Instagram -> Instagram -> Google Search -> Google Search -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> YouTube -> YouTube -> Google Search -> Google Search -> YouTube -> YouTube -> Google Search -> Google Search -> Marketplace -> Marketplace -> Instagram -> Instagram -> Marketplace -> Marketplace -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Google Search -> Google Search -> Google Search -> Google Search -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> YouTube -> YouTube -> Instagram -> Instagram -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> Instagram -> Instagram -> YouTube -> YouTube -> Google Search -> Google Search -> Google Search -> Google Search -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Google Search -> Google Search,0
U_B01_00175,Instagram -> Influencer Blog,0
U_B01_00176,Google Search -> Instagram -> Influencer Blog -> Marketplace -> Instagram -> Instagram,0
U_B01_00177,Influencer Blog -> Influencer Blog -> Influencer Blog,0
U_B01_00178,Influencer Blog -> YouTube -> Google Search -> YouTube -> Marketplace -> Google Search,0
U_B01_00179,YouTube -> YouTube -> Marketplace -> Instagram -> Influencer Blog -> YouTube -> YouTube -> YouTube -> YouTube,1
U_B01_00180,Influencer Blog -> Google Search -> Google Search -> Marketplace -> Influencer Blog -> Instagram -> Instagram -> Influencer Blog,0
U_B01_00181,Influencer Blog,0
U_B01_00182,Google Search -> Google Search -> Marketplace -> Marketplace -> YouTube,0
U_B01_00183,Marketplace -> Instagram -> Marketplace -> Marketplace,0
U_B01_00184,YouTube -> YouTube -> Instagram -> Influencer Blog -> Instagram,1
U_B01_00185,YouTube -> YouTube -> Instagram,0
U_B01_00186,Marketplace,0
U_B01_00187,Google Search -> Influencer Blog -> YouTube,0
U_B01_00188,YouTube -> Marketplace -> Instagram,0
U_B01_00189,Marketplace -> Influencer Blog -> Google Search -> Google Search -> YouTube -> Instagram -> Instagram,1
U_B01_00190,Marketplace -> Influencer Blog -> Influencer Blog -> Influencer Blog,1
U_B01_00191,Google Search -> Marketplace -> Marketplace,0
U_B01_00192,Instagram -> Marketplace -> Influencer Blog -> Influencer Blog -> YouTube -> Marketplace,0
U_B01_00193,Influencer Blog -> YouTube -> Instagram -> YouTube,0
U_B01_00194,YouTube -> Google Search,0
U_B01_00195,YouTube -> Marketplace -> Instagram -> Google Search -> YouTube,0
U_B01_00196,Instagram -> Instagram,0
U_B01_00197,Instagram -> Marketplace -> Google Search -> Influencer Blog -> Instagram,1
U_B01_00198,YouTube -> Influencer Blog -> Marketplace,0
U_B01_00199,Instagram -> Instagram -> Influencer Blog,0
U_B01_00200,Instagram -> Google Search -> Marketplace,0
U_B01_00201,YouTube -> YouTube -> Marketplace -> Influencer Blog -> Instagram,0
U_B01_00202,Google Search -> Marketplace -> YouTube -> YouTube -> YouTube,0
U_B01_00203,Google Search -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search,0
U_B01_00204,Marketplace -> YouTube -> Influencer Blog -> Influencer Blog,0
U_B01_00205,Google Search -> Google Search -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> YouTube -> YouTube -> Instagram -> Instagram -> Marketplace -> Marketplace -> YouTube -> YouTube -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Google Search -> Google Search -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Instagram -> Instagram -> Marketplace -> Marketplace -> YouTube -> YouTube -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> YouTube -> YouTube -> YouTube -> YouTube -> Marketplace -> Marketplace -> YouTube -> YouTube -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> YouTube -> YouTube -> Marketplace -> Marketplace -> YouTube -> YouTube -> Google Search -> Google Search -> YouTube -> YouTube -> Marketplace -> Marketplace -> YouTube -> YouTube -> Instagram -> Instagram -> YouTube -> YouTube -> Instagram -> Instagram -> Instagram -> Instagram -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> Instagram -> Instagram -> YouTube -> YouTube -> YouTube -> YouTube -> Instagram -> Instagram -> YouTube -> YouTube,0
U_B01_00206,Google Search -> Influencer Blog -> YouTube -> YouTube,0
U_B01_00207,Instagram -> Marketplace -> Instagram -> Instagram -> YouTube,0
U_B01_00208,Instagram,0
U_B01_00209,Instagram -> YouTube -> Google Search -> YouTube,0
U_B01_00210,Google Search -> Influencer Blog -> Marketplace,0
U_B01_00211,Marketplace,0
U_B01_00212,Instagram -> Marketplace,0
U_B01_00213,Google Search -> Influencer Blog -> Influencer Blog -> Instagram -> Google Search -> Google Search,0
U_B01_00214,Google Search -> Influencer Blog -> Instagram -> Influencer Blog -> Marketplace,0
U_B01_00215,Google Search -> Marketplace -> Instagram -> Marketplace -> Influencer Blog,0
U_B01_00216,Instagram -> YouTube -> YouTube -> Google Search -> Google Search -> Influencer Blog,0
U_B01_00217,Influencer Blog,0
U_B01_00218,Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> YouTube -> Marketplace -> Marketplace -> Marketplace,0
U_B01_00219,Influencer Blog -> YouTube -> Instagram -> Instagram,1
U_B01_00220,Google Search,0
U_B01_00221,YouTube -> Marketplace -> YouTube -> Marketplace,0
U_B01_00222,Influencer Blog -> Google Search -> YouTube -> Google Search -> Influencer Blog,0
U_B01_00223,Influencer Blog -> Marketplace -> Influencer Blog,0
U_B01_00224,Google Search,0
U_B01_00225,YouTube -> Google Search,0
U_B01_00226,Google Search -> Instagram -> Influencer Blog,0
U_B01_00227,YouTube -> YouTube -> Influencer Blog,0
U_B01_00228,YouTube -> YouTube -> Marketplace -> Google Search -> YouTube -> YouTube,0
U_B01_00229,Influencer Blog -> Influencer Blog,0
U_B01_00230,Marketplace -> YouTube,0
U_B01_00231,Instagram -> Instagram -> YouTube -> Google Search -> YouTube,0
U_B01_00232,Instagram -> YouTube -> YouTube -> Instagram -> Influencer Blog -> Influencer Blog,1
U_B01_00233,Influencer Blog -> Marketplace,0
U_B01_00234,Google Search -> YouTube -> Google Search -> Instagram -> Marketplace -> Instagram -> Instagram,1
U_B01_00235,Google Search -> Influencer Blog -> YouTube -> Instagram,0
U_B01_00236,Google Search -> Instagram -> Influencer Blog -> Marketplace,0
U_B01_00237,Influencer Blog,0
U_B01_00238,Google Search -> Google Search -> Marketplace -> Influencer Blog -> Marketplace -> Google Search -> Google Search,0
U_B01_00239,YouTube,0
U_B01_00240,YouTube -> Google Search -> Google Search -> Instagram -> YouTube -> Instagram,0
U_B01_00241,YouTube -> Google Search -> Google Search -> Google Search -> Google Search -> YouTube,0
U_B01_00242,Marketplace,0
U_B01_00243,Google Search -> Influencer Blog -> YouTube,0
U_B01_00244,Instagram -> YouTube -> Instagram -> Instagram -> YouTube,0
U_B01_00245,Instagram -> YouTube -> YouTube,0
U_B01_00246,Marketplace -> Influencer Blog -> Influencer Blog,0
U_B01_00247,Google Search -> Google Search -> Marketplace -> Google Search,0
U_B01_00248,YouTube,0
U_B01_00249,Marketplace -> Google Search -> Google Search -> Google Search -> Instagram,0
U_B01_00250,Marketplace -> Google Search -> Google Search -> Marketplace -> Influencer Blog -> Influencer Blog -> Instagram,0
U_B01_00251,Marketplace -> Marketplace -> Influencer Blog,0
U_B01_00252,Marketplace -> Marketplace,0
U_B01_00253,Instagram -> Google Search -> Google Search -> Marketplace -> Marketplace,0
U_B01_00254,YouTube -> Marketplace -> Marketplace,0
U_B01_00255,Marketplace -> Marketplace -> Influencer Blog -> Influencer Blog -> Instagram -> Influencer Blog,0
U_B01_00256,Marketplace -> YouTube -> Google Search -> Google Search,0
U_B01_00257,Instagram,0
U_B01_00258,Influencer Blog,0
U_B01_00259,Influencer Blog -> Marketplace,0
U_B01_00260,YouTube -> Influencer Blog,0
U_B01_00261,Google Search -> Instagram,0
U_B01_00262,YouTube,0
U_B01_00263,Google Search,0
U_B01_00264,Influencer Blog,0
U_B01_00265,Google Search -> YouTube -> Marketplace -> YouTube -> Influencer Blog -> Influencer Blog -> Influencer Blog,0
U_B01_00266,Marketplace -> Influencer Blog -> YouTube -> YouTube -> Instagram -> Google Search,0
U_B01_00267,YouTube -> Instagram -> Instagram -> Marketplace -> Instagram -> Marketplace,0
U_B01_00268,Influencer Blog -> Google Search -> Marketplace -> Instagram -> Instagram,0
U_B01_00269,Marketplace -> YouTube -> Marketplace -> Instagram -> Google Search,0
U_B01_00270,YouTube,0
U_B01_00271,Influencer Blog -> Influencer Blog -> Influencer Blog -> Google Search,0
U_B01_00272,Influencer Blog,0
U_B01_00273,Google Search -> Instagram -> Instagram -> Instagram -> Marketplace -> Instagram,0
U_B01_00274,YouTube -> Instagram -> Marketplace -> Instagram,0
U_B01_00275,Marketplace -> YouTube,0
